Crop,Land_Area_ha,Soil_Fertility,Growth_Stage,Region,Urea_kg
Sugarcane,0.96,Medium,Mid,North,79.77
Cotton,3.15,Medium,Mid,West,129.68
Rice,0.81,Medium,Mid,West,47.02
Maize,1.15,Medium,Initial,West,47.83
Cotton,1.9,High,Initial,North,56.68
Maize,0.56,Medium,Mid,North,27.04
Rice,2.62,Medium,Mid,East,180.43
Mustard,3.44,Medium,Initial,North,93.49
Mustard,0.98,High,Initial,North,19.46
Sugarcane,0.69,High,Mid,East,47.75
Mustard,3.12,High,Mid,East,85.99
Mustard,1.75,Medium,Initial,Central,38.45
Wheat,1.06,Medium,Mid,South,58.52
Sugarcane,2.71,High,Late,South,89.74
Cotton,2.52,Medium,Late,Central,45.17
Pulses,0.79,Medium,Mid,West,14.27
Wheat,1.19,Medium,Mid,North,73.26
Cotton,1.5,High,Initial,East,39.24
Rice,1.02,Low,Mid,East,78.12
Wheat,0.38,Medium,Mid,West,18.66
Cotton,0.52,Medium,Mid,East,20.14
Rice,0.39,Low,Mid,West,28.09
Sugarcane,1.41,Low,Mid,Central,136.05
Pulses,0.44,High,Late,West,3.04
Rice,1.14,High,Initial,South,47.06
Mustard,3.61,Medium,Initial,West,89.66
Maize,2.72,High,Mid,Central,134.68
Rice,0.28,High,Initial,West,12.35
Rice,0.41,Medium,Mid,Central,26.88
Pulses,0.58,Medium,Initial,South,8.37
Maize,0.44,High,Mid,North,18.01
Mustard,0.31,Medium,Mid,Central,9.84
Cotton,0.99,Low,Initial,North,37.72
Cotton,1.64,High,Initial,Central,44.69
Rice,1.95,Medium,Initial,West,100.03
Maize,0.72,Low,Mid,North,46.01
Maize,0.83,Medium,Mid,Central,40.91
Mustard,1.28,Medium,Mid,Central,32.61
Pulses,0.93,High,Mid,North,17.07
Sugarcane,1.76,Medium,Mid,Central,134.88
Cotton,1.35,Medium,Initial,North,43.4
Pulses,0.77,Medium,Mid,South,14.54
Wheat,0.27,Medium,Initial,East,13.32
Cotton,2.86,Low,Late,South,68.39
Pulses,0.62,Medium,Mid,North,10.73
Cotton,1.28,High,Mid,West,47.99
Sugarcane,0.26,Low,Mid,West,24.09
Wheat,0.99,Medium,Late,East,30.95
Sugarcane,1.07,Medium,Late,North,42.87
Mustard,1.11,Medium,Mid,Central,34.68
Wheat,8.25,Medium,Initial,South,312.47
Rice,0.64,Medium,Late,South,13.01
Pulses,1.78,High,Initial,East,23.01
Wheat,1.44,Medium,Late,East,38.87
Mustard,0.62,Medium,Mid,East,21.47
Mustard,1.76,Low,Late,East,22.07
Sugarcane,0.89,High,Late,East,24.32
Cotton,1.85,Medium,Initial,East,62.14
Wheat,3.95,Medium,Mid,Central,253.63
Pulses,1.11,Medium,Initial,Central,15.63
Wheat,0.82,Medium,Initial,South,37.5
Maize,2.09,Low,Mid,South,104.42
Cotton,2.66,High,Initial,East,74.1
Pulses,0.54,Medium,Mid,South,9.24
Pulses,0.73,Medium,Late,East,6.65
Rice,1.6,Medium,Mid,Central,96.58
Sugarcane,0.91,Medium,Initial,West,65.06
Rice,0.51,Medium,Late,Central,14.05
Pulses,1.46,Medium,Late,North,10.43
Cotton,1.6,Medium,Mid,Central,58.67
Wheat,0.79,Medium,Mid,North,40.07
Wheat,1.04,Medium,Late,South,25.46
Cotton,0.67,Low,Initial,Central,22.95
Pulses,0.46,High,Late,West,2.81
Mustard,0.71,Medium,Late,Central,10.87
Wheat,1.05,Medium,Late,Central,17.33
Mustard,0.36,High,Initial,Central,7.17
Wheat,0.74,Low,Late,East,18.13
Wheat,1.06,High,Mid,Central,45.02
Sugarcane,2.31,High,Mid,Central,164.39
Sugarcane,0.8,High,Late,West,23.36
Maize,0.42,High,Initial,North,13.28
Rice,0.86,Medium,Mid,North,60.87
Cotton,0.67,Low,Late,West,13.49
Cotton,1.47,Medium,Late,South,30.65
Cotton,0.79,Medium,Late,Central,15.37
Maize,0.2,Low,Initial,South,7.84
Sugarcane,10.0,High,Mid,West,797.01
Pulses,1.1,Medium,Initial,South,15.58
Mustard,1.06,High,Mid,North,33.83
Mustard,0.34,High,Initial,East,7.03
Pulses,0.36,High,Mid,South,5.53
Maize,0.94,High,Mid,East,41.98
Pulses,1.27,High,Late,South,8.29
Cotton,1.63,High,Mid,West,61.53
Rice,1.18,Medium,Mid,East,90.54
Wheat,0.44,Medium,Mid,South,17.78
Mustard,0.2,High,Mid,West,5.62
Sugarcane,0.93,High,Mid,North,58.44
Sugarcane,0.69,Medium,Initial,Central,32.43
Maize,0.41,Low,Mid,West,24.0
Sugarcane,1.79,Medium,Late,West,65.58
Cotton,0.33,Low,Initial,North,12.84
Mustard,1.54,High,Initial,East,33.93
Pulses,0.37,High,Mid,South,6.08
Cotton,1.1,Low,Late,East,21.79
Maize,1.92,Medium,Initial,West,73.7
Cotton,0.79,Low,Late,South,17.13
Pulses,3.26,Medium,Late,Central,29.94
Rice,3.83,Medium,Initial,Central,190.31
Maize,1.18,Medium,Initial,South,43.59
Rice,1.46,Medium,Mid,West,88.78
Wheat,2.1,Low,Late,North,51.07
Rice,1.46,Medium,Mid,East,101.31
Wheat,1.36,Low,Mid,East,73.49
Wheat,0.69,Medium,Initial,North,30.24
Rice,0.31,Low,Mid,North,22.42
Maize,0.38,Medium,Mid,Central,15.96
Pulses,5.3,High,Initial,North,53.65
Cotton,1.25,High,Mid,South,38.67
Cotton,0.84,High,Initial,Central,21.99
Pulses,2.42,High,Mid,West,41.26
Mustard,0.59,Low,Initial,Central,16.65
Mustard,1.5,Low,Initial,Central,45.14
Wheat,1.06,Medium,Late,East,29.11
Wheat,1.38,High,Initial,North,54.55
Maize,0.79,High,Mid,South,32.56
Sugarcane,0.51,Low,Initial,North,34.28
Rice,0.56,Medium,Initial,East,29.5
Wheat,0.58,Low,Mid,North,33.42
Cotton,1.0,High,Initial,South,30.94
Maize,0.34,Medium,Initial,North,14.08
Rice,0.42,Low,Late,East,14.0
Maize,1.1,Medium,Initial,South,43.61
Rice,0.91,Medium,Initial,North,45.61
Rice,1.14,High,Late,East,26.71
Pulses,0.97,Low,Initial,East,16.71
Wheat,5.83,High,Mid,Central,263.77
Maize,1.09,Medium,Initial,South,49.22
Maize,0.77,High,Initial,South,22.89
Pulses,1.07,High,Mid,North,17.26
Cotton,2.04,Low,Late,Central,39.35
Cotton,0.97,Low,Initial,South,31.57
Mustard,1.61,Medium,Mid,East,42.62
Wheat,1.32,Low,Initial,South,65.03
Wheat,0.82,High,Initial,Central,27.86
Sugarcane,1.08,Medium,Late,West,41.83
Pulses,3.06,High,Initial,East,38.71
Cotton,1.19,Medium,Late,South,21.22
Rice,0.5,Medium,Initial,East,21.53
Maize,0.8,Medium,Late,North,18.62
Wheat,0.23,Low,Mid,East,13.46
Maize,1.1,Medium,Late,South,20.34
Maize,2.51,High,Initial,North,85.52
Sugarcane,0.39,Medium,Mid,North,27.69
Cotton,1.11,High,Mid,North,30.23
Wheat,1.99,Low,Mid,West,135.65
Maize,2.15,Medium,Late,West,43.24
Wheat,2.45,High,Mid,North,92.82
Rice,0.27,High,Late,South,5.7
Sugarcane,1.42,Medium,Mid,North,107.03
Rice,0.35,High,Mid,North,20.8
Wheat,0.5,Medium,Late,East,10.15
Mustard,1.78,Medium,Initial,East,38.46
Wheat,1.12,Medium,Mid,East,67.56
Cotton,1.66,High,Late,Central,24.54
Maize,0.52,Low,Mid,East,30.99
Maize,2.81,Medium,Initial,East,104.76
Rice,1.62,Medium,Mid,South,120.16
Sugarcane,1.86,Medium,Late,West,56.68
Mustard,0.47,Medium,Late,West,6.56
Pulses,2.27,Medium,Late,West,20.27
Maize,0.8,Low,Mid,Central,44.35
Cotton,0.65,Medium,Mid,North,24.41
Rice,1.55,Medium,Initial,East,83.38
Rice,1.5,Medium,Initial,South,79.48
Pulses,0.55,Medium,Initial,Central,7.19
Cotton,4.22,Low,Initial,West,169.89
Sugarcane,3.56,High,Late,Central,110.62
Cotton,1.53,Medium,Late,South,28.31
Sugarcane,1.35,Low,Mid,Central,146.08
Cotton,1.26,Medium,Late,West,23.68
Cotton,0.34,High,Late,North,5.17
Wheat,1.08,High,Mid,West,44.95
Rice,1.07,Medium,Mid,West,83.27
Cotton,0.67,Medium,Initial,West,18.81
Pulses,0.81,Low,Mid,Central,17.37
Cotton,0.2,Low,Initial,South,7.46
Maize,0.46,Medium,Mid,West,23.52
Rice,1.91,Medium,Late,Central,65.39
Maize,3.36,High,Initial,South,108.26
Rice,0.52,Medium,Initial,North,25.08
Maize,1.14,Low,Mid,West,72.5
Cotton,2.16,Medium,Mid,East,87.91
Cotton,0.69,Low,Initial,Central,27.65
Wheat,1.61,Low,Initial,North,79.05
Pulses,0.98,Medium,Late,North,8.53
Maize,2.3,Medium,Initial,North,95.01
Sugarcane,0.41,Medium,Late,Central,14.22
Wheat,0.46,Medium,Mid,South,19.92
Maize,1.22,Low,Mid,East,58.79
Maize,1.07,Low,Initial,South,37.87
Wheat,0.96,Medium,Mid,West,49.9
Cotton,1.5,Low,Late,East,24.16
Maize,0.52,Medium,Initial,South,19.35
Cotton,0.38,Low,Initial,West,13.65
Wheat,0.7,Medium,Initial,East,32.77
Cotton,0.76,Low,Mid,Central,37.65
Rice,0.82,Low,Mid,West,62.81
Sugarcane,2.43,Medium,Initial,South,156.31
Mustard,1.71,High,Initial,East,35.25
Maize,1.45,Low,Mid,West,79.35
Pulses,1.17,Medium,Late,West,8.29
Sugarcane,0.74,Medium,Mid,Central,61.75
Mustard,0.55,Medium,Initial,West,11.0
Cotton,0.43,High,Initial,East,13.07
Maize,0.61,Low,Mid,North,31.66
Cotton,0.97,High,Initial,East,26.91
Rice,0.45,Medium,Mid,East,29.55
Wheat,1.13,Medium,Mid,Central,68.55
Maize,0.87,High,Initial,Central,24.0
Mustard,0.76,Medium,Mid,West,22.38
Mustard,2.25,Medium,Mid,Central,75.68
Rice,0.2,Medium,Mid,West,14.36
Rice,0.76,Medium,Late,North,21.32
Maize,0.2,Low,Mid,South,10.49
Cotton,1.18,Medium,Mid,Central,58.14
Pulses,1.7,Low,Mid,Central,38.51
Mustard,0.39,High,Initial,North,9.2
Mustard,0.42,High,Initial,Central,7.85
Rice,0.3,Medium,Late,North,8.97
Sugarcane,1.05,Medium,Late,West,32.56
Rice,0.79,Low,Mid,Central,50.12
Pulses,0.82,Low,Mid,Central,18.2
Cotton,0.77,High,Initial,West,21.38
Cotton,0.51,Low,Mid,Central,22.65
Sugarcane,2.21,Medium,Late,East,92.71
Mustard,1.21,High,Late,North,13.87
Rice,0.44,High,Initial,South,17.33
Cotton,0.61,Medium,Initial,East,19.61
Pulses,0.54,Medium,Mid,South,9.35
Maize,2.68,Medium,Mid,East,152.34
Wheat,1.65,High,Mid,East,69.0
Wheat,0.92,Medium,Mid,East,46.61
Wheat,3.3,Medium,Initial,North,122.23
Mustard,2.76,Low,Mid,South,116.58
Rice,0.85,Low,Mid,West,57.86
Sugarcane,0.75,Medium,Late,West,24.18
Cotton,0.78,High,Late,Central,11.65
Maize,0.51,High,Mid,North,23.43
Pulses,3.37,High,Mid,North,54.92
Maize,0.49,Medium,Mid,North,23.06
Pulses,1.84,High,Late,East,12.23
Mustard,1.62,High,Initial,North,28.85
Rice,0.81,Medium,Late,West,22.24
Wheat,3.55,Medium,Initial,North,168.23
Rice,0.34,Medium,Initial,East,15.8
Mustard,0.95,High,Mid,South,26.39
Sugarcane,0.71,Medium,Mid,North,54.17
Sugarcane,1.96,High,Initial,South,91.54
Mustard,1.28,Low,Mid,Central,50.05
Pulses,0.3,Medium,Late,East,3.01
Cotton,2.38,Medium,Initial,North,79.09
Cotton,1.4,Medium,Mid,Central,55.08
Pulses,0.48,Medium,Initial,Central,6.61
Sugarcane,0.78,High,Mid,South,62.91
Sugarcane,0.4,Medium,Mid,West,32.6
Sugarcane,0.89,Medium,Mid,West,64.37
Rice,1.11,Medium,Late,West,29.98
Sugarcane,0.79,Medium,Mid,West,63.5
Maize,0.73,Medium,Late,East,17.14
Wheat,0.32,Medium,Mid,North,20.1
Sugarcane,1.27,High,Late,North,43.69
Pulses,0.26,Medium,Initial,East,3.79
Wheat,1.02,Medium,Initial,South,41.89
Rice,0.28,Medium,Mid,North,18.59
Pulses,1.04,Medium,Late,Central,7.86
Wheat,1.0,High,Initial,North,39.03
Pulses,1.33,Medium,Late,East,10.6
Rice,1.83,High,Initial,South,78.31
Maize,2.08,Low,Initial,North,107.97
Rice,0.32,Low,Initial,East,19.65
Rice,0.96,High,Mid,Central,53.12
Pulses,4.09,Medium,Late,West,30.07
Mustard,1.09,Low,Initial,Central,30.69
Cotton,0.56,Medium,Mid,Central,20.26
Sugarcane,0.95,High,Initial,South,52.28
Sugarcane,0.76,Medium,Mid,North,48.71
Maize,0.44,Medium,Initial,West,17.98
Maize,1.84,Medium,Mid,East,99.56
Sugarcane,1.51,Medium,Mid,West,119.44
Cotton,0.39,High,Mid,North,12.81
Sugarcane,0.94,Low,Initial,South,66.41
Mustard,0.67,Medium,Initial,North,13.56
Cotton,0.33,High,Mid,East,12.39
Maize,0.37,Low,Late,West,8.97
Wheat,0.41,Medium,Late,Central,11.51
Pulses,0.96,Medium,Late,North,7.98
Mustard,0.73,Medium,Late,South,10.19
Mustard,0.51,Medium,Mid,South,16.41
Maize,0.76,Medium,Initial,West,25.62
Maize,1.69,Medium,Initial,Central,62.66
Rice,1.28,Medium,Mid,East,83.58
Mustard,2.02,Medium,Mid,Central,62.21
Rice,0.85,Low,Late,West,25.09
Rice,3.07,Medium,Initial,Central,147.66
Pulses,1.28,High,Mid,West,19.02
Rice,0.71,Medium,Mid,Central,55.67
Cotton,1.07,Medium,Mid,North,41.82
Sugarcane,0.42,Medium,Initial,South,24.03
Wheat,0.81,High,Mid,West,35.38
Maize,1.35,High,Initial,West,49.33
Cotton,1.53,Low,Late,South,36.02
Wheat,0.75,Medium,Late,East,21.95
Mustard,6.78,Medium,Mid,West,208.37
Mustard,0.89,Medium,Mid,North,29.71
Mustard,0.31,Low,Mid,Central,10.11
Cotton,2.34,High,Mid,North,77.64
Cotton,1.53,Low,Initial,West,47.75
Maize,1.18,Medium,Late,East,27.64
Sugarcane,0.72,Medium,Mid,West,56.96
Rice,1.32,Low,Initial,East,77.41
Mustard,3.11,High,Mid,South,74.6
Pulses,1.15,High,Initial,Central,15.02
Sugarcane,0.36,Medium,Initial,North,17.09
Pulses,0.2,Medium,Mid,East,3.58
Maize,1.31,Low,Mid,North,73.71
Maize,0.5,Medium,Mid,South,19.41
Maize,0.93,Low,Late,West,23.77
Wheat,0.57,Medium,Late,East,13.65
Pulses,0.54,High,Initial,Central,6.85
Sugarcane,0.59,Low,Initial,East,51.9
Sugarcane,0.62,High,Mid,West,42.99
Cotton,1.72,Low,Mid,West,85.35
Cotton,1.49,High,Late,Central,26.28
Mustard,0.43,Low,Mid,Central,16.48
Cotton,0.47,Medium,Initial,South,13.32
Maize,1.3,Medium,Mid,North,53.96
Sugarcane,2.09,High,Late,East,67.65
Pulses,2.07,Medium,Late,South,15.56
Maize,0.5,Low,Initial,North,24.76
Wheat,2.0,Medium,Mid,South,100.75
Cotton,0.29,Medium,Initial,Central,9.16
Maize,0.87,Medium,Mid,Central,38.35
Maize,1.41,High,Initial,West,43.1
Wheat,0.23,Medium,Late,East,5.17
Rice,4.33,Medium,Mid,East,254.41
Sugarcane,2.53,Low,Late,East,106.32
Pulses,1.57,Medium,Late,South,11.58
Mustard,0.51,Medium,Initial,South,15.43
Rice,0.95,Medium,Mid,East,66.39
Cotton,1.74,Low,Late,West,38.7
Maize,0.46,Medium,Mid,North,22.31
Wheat,0.88,High,Mid,South,40.06
Wheat,1.89,Medium,Mid,East,99.7
Sugarcane,0.35,Medium,Mid,Central,36.28
Rice,1.26,High,Mid,South,65.51
Mustard,0.29,Medium,Mid,North,8.67
Sugarcane,0.52,Medium,Initial,South,29.48
Maize,0.7,Medium,Initial,North,27.95
Sugarcane,1.43,High,Initial,North,87.62
Pulses,0.61,Low,Initial,South,10.71
Wheat,1.09,Medium,Mid,North,54.5
Wheat,0.62,Low,Initial,South,26.97
Cotton,0.69,Medium,Initial,South,23.95
Cotton,2.4,Medium,Mid,West,114.1
Mustard,0.45,Medium,Mid,Central,14.02
Maize,1.7,Low,Mid,North,108.53
Pulses,1.0,Medium,Late,South,6.69
Rice,0.67,Medium,Initial,North,29.99
Sugarcane,0.43,Medium,Initial,South,23.67
Mustard,0.45,Medium,Initial,South,11.21
Maize,0.6,Medium,Late,South,12.63
Cotton,0.9,High,Mid,Central,32.05
Sugarcane,1.53,Medium,Initial,North,107.84
Cotton,0.81,Medium,Initial,Central,24.1
Sugarcane,0.85,High,Mid,Central,59.62
Rice,0.94,Medium,Initial,Central,40.42
Maize,1.4,Low,Mid,Central,89.61
Sugarcane,1.57,Medium,Late,West,60.85
Pulses,0.38,Medium,Mid,North,7.06
Mustard,0.82,High,Late,North,9.88
Wheat,2.36,High,Mid,South,100.81
Pulses,0.4,Medium,Mid,North,6.16
Pulses,1.05,Medium,Late,Central,8.77
Mustard,0.89,Medium,Mid,East,30.66
Wheat,0.67,Medium,Mid,North,43.65
Pulses,3.05,High,Mid,East,45.65
Sugarcane,1.03,High,Late,West,31.28
Sugarcane,2.88,Medium,Initial,South,197.63
Sugarcane,1.0,Low,Initial,South,79.44
Wheat,1.38,Medium,Mid,South,68.49
Pulses,0.67,Medium,Late,West,5.04
Wheat,0.67,High,Late,Central,13.13
Sugarcane,1.33,Low,Initial,East,89.54
Mustard,1.35,High,Initial,North,32.23
Pulses,1.52,Medium,Late,Central,12.36
Pulses,1.3,Medium,Initial,South,17.73
Cotton,0.39,Medium,Initial,South,12.41
Cotton,0.57,Medium,Initial,Central,18.19
Rice,1.81,Medium,Initial,East,88.61
Maize,0.25,High,Mid,Central,9.97
Cotton,1.23,Medium,Mid,West,55.76
Wheat,0.92,Medium,Mid,South,46.14
Cotton,1.81,Medium,Late,East,30.18
Rice,1.34,Low,Initial,North,74.82
Pulses,0.63,Medium,Initial,South,10.48
Rice,0.61,High,Late,Central,13.43
Pulses,0.69,Low,Mid,East,15.68
Mustard,1.5,Medium,Initial,South,35.15
Mustard,0.2,Medium,Initial,North,5.02
Pulses,1.12,Medium,Initial,North,17.07
Maize,0.54,Low,Mid,Central,25.66
Cotton,1.14,Medium,Initial,West,31.79
Wheat,1.27,Low,Mid,Central,87.07
Wheat,0.31,Low,Initial,East,15.54
Sugarcane,0.85,Medium,Late,Central,31.68
Pulses,1.12,Medium,Mid,East,21.93
Wheat,1.06,High,Mid,West,43.14
Maize,0.92,Low,Initial,Central,45.38
Pulses,0.43,Medium,Initial,North,6.44
Maize,0.47,Low,Mid,East,28.14
Wheat,0.38,Medium,Mid,East,21.97
Wheat,1.47,High,Mid,North,75.53
Sugarcane,0.92,High,Mid,Central,60.33
Wheat,0.96,Low,Initial,West,48.17
Pulses,0.3,Medium,Mid,South,6.28
Mustard,0.98,Medium,Initial,Central,25.72
Pulses,1.56,Low,Initial,Central,24.77
Pulses,0.28,Low,Mid,East,7.16
Sugarcane,0.69,High,Late,East,21.95
Sugarcane,0.33,High,Mid,West,25.36
Wheat,0.75,High,Late,West,14.12
Rice,0.53,High,Late,West,13.6
Rice,1.31,Medium,Initial,North,60.48
Sugarcane,1.13,Medium,Late,South,41.0
Wheat,2.47,Low,Mid,South,141.18
Rice,0.96,Low,Late,West,35.79
Wheat,1.27,Medium,Mid,East,68.26
Wheat,0.68,High,Mid,South,27.07
Wheat,0.46,High,Mid,Central,21.62
Cotton,1.79,High,Initial,North,50.61
Pulses,2.39,High,Late,East,16.52
Wheat,1.64,High,Initial,North,53.75
Cotton,1.1,Low,Initial,Central,44.27
Sugarcane,0.51,High,Initial,South,29.88
Rice,2.22,Medium,Initial,North,91.0
Pulses,1.5,Medium,Initial,North,19.16
Mustard,4.13,High,Initial,North,84.56
Rice,0.45,High,Mid,Central,22.83
Pulses,1.83,Low,Mid,East,40.65
Mustard,1.47,Low,Initial,East,49.97
Rice,0.79,Medium,Initial,Central,37.47
Pulses,2.6,Medium,Late,North,24.06
Rice,1.33,High,Initial,North,47.09
Rice,0.52,Low,Initial,West,29.66
Mustard,0.92,Low,Initial,South,23.9
Rice,0.51,Medium,Initial,South,25.9
Rice,0.72,Low,Mid,East,43.88
Mustard,1.64,Low,Mid,Central,52.18
Sugarcane,2.0,High,Mid,North,144.15
Wheat,1.17,Medium,Initial,South,45.03
Maize,0.59,Medium,Mid,Central,28.62
Cotton,1.31,Low,Mid,Central,72.73
Maize,1.66,Medium,Initial,North,64.76
Maize,0.25,High,Initial,Central,9.06
Pulses,1.08,Medium,Initial,South,13.76
Wheat,0.88,High,Mid,West,33.75
Pulses,1.95,Medium,Initial,South,26.53
Wheat,1.31,Medium,Mid,West,58.39
Mustard,1.4,Medium,Initial,Central,32.31
Mustard,0.71,Medium,Initial,South,17.54
Wheat,1.0,High,Initial,North,35.34
Rice,1.94,Medium,Initial,Central,99.01
Sugarcane,0.96,Medium,Initial,North,63.82
Rice,1.13,Low,Mid,West,69.92
Sugarcane,0.34,Medium,Mid,East,25.54
Pulses,0.95,High,Mid,East,11.63
Sugarcane,0.24,Medium,Mid,West,18.5
Pulses,0.7,Medium,Mid,East,13.74
Mustard,1.05,High,Mid,Central,32.49
Maize,1.71,Medium,Late,Central,38.74
Mustard,0.5,Medium,Initial,South,13.57
Mustard,1.3,Medium,Initial,Central,33.38
Maize,2.8,Medium,Mid,East,142.65
Sugarcane,0.64,Medium,Mid,North,48.56
Sugarcane,0.34,Medium,Mid,South,20.47
Pulses,1.22,Medium,Initial,North,19.25
Rice,0.43,High,Mid,East,23.59
Pulses,0.56,Low,Late,North,5.91
Rice,1.91,Medium,Initial,East,86.33
Mustard,3.72,Low,Late,Central,75.19
Maize,0.5,High,Mid,South,19.96
Mustard,0.6,Low,Initial,West,15.18
Wheat,0.73,Medium,Mid,East,39.61
Sugarcane,0.68,Low,Mid,Central,65.21
Rice,3.87,Medium,Mid,North,242.12
Pulses,0.69,High,Mid,Central,10.11
Maize,0.76,Medium,Mid,North,30.93
Rice,3.1,Medium,Initial,North,139.67
Pulses,1.5,Medium,Initial,North,23.21
Sugarcane,1.99,Medium,Initial,North,114.57
Mustard,0.53,High,Late,South,5.12
Sugarcane,0.69,Medium,Initial,North,38.88
Cotton,0.48,Medium,Late,South,8.44
Wheat,1.75,Low,Initial,West,75.86
Cotton,2.36,Low,Initial,South,81.36
Maize,0.66,Medium,Initial,North,23.28
Rice,0.77,Medium,Initial,West,40.55
Maize,0.8,Medium,Late,Central,18.63
Mustard,0.34,Medium,Mid,South,12.77
Pulses,0.62,Low,Late,Central,5.58
Sugarcane,1.72,Low,Late,West,67.03
Cotton,0.54,High,Mid,South,20.44
Cotton,1.07,High,Mid,North,38.18
Mustard,0.4,Low,Mid,South,12.87
Cotton,0.9,Medium,Mid,North,38.65
Mustard,0.67,Medium,Initial,East,17.51
Maize,0.43,High,Mid,South,14.39
Sugarcane,1.74,High,Mid,South,109.69
Rice,1.81,High,Initial,Central,77.54
Pulses,0.51,High,Mid,Central,8.97
Rice,0.86,Medium,Late,West,24.98
Maize,1.03,High,Mid,North,40.95
Pulses,0.28,Medium,Mid,Central,4.74
Cotton,0.38,Low,Initial,West,14.27
Wheat,2.46,Medium,Mid,North,100.63
Maize,0.47,High,Mid,North,18.35
Maize,2.41,High,Late,North,51.47
Sugarcane,0.39,Low,Late,East,16.95
Rice,1.59,Medium,Late,North,41.04
Maize,0.8,High,Initial,West,22.46
Maize,0.89,Medium,Initial,North,37.03
Cotton,3.67,Medium,Late,North,66.51
Cotton,0.42,Medium,Late,West,7.1
Pulses,1.52,Medium,Late,South,12.33
Mustard,1.47,Low,Mid,North,54.25
Mustard,10.0,Medium,Mid,West,308.24
Wheat,0.47,High,Initial,Central,14.72
Mustard,0.65,Medium,Late,West,7.86
Sugarcane,1.77,High,Mid,East,133.63
Wheat,0.87,Medium,Initial,Central,38.93
Pulses,0.72,Low,Initial,South,11.85
Cotton,1.95,Medium,Mid,South,73.03
Mustard,0.83,Medium,Mid,West,27.29
Rice,0.54,High,Initial,West,20.84
Cotton,1.66,Low,Initial,North,68.06
Sugarcane,1.3,Medium,Initial,North,75.81
Cotton,0.8,Medium,Initial,East,24.46
Sugarcane,0.78,High,Late,North,23.42
Sugarcane,0.53,Low,Mid,West,51.66
Sugarcane,1.66,Low,Mid,West,149.58
Pulses,0.78,Low,Mid,North,16.15
Sugarcane,0.58,High,Mid,East,39.37
Sugarcane,0.41,Low,Mid,West,37.72
Rice,1.32,Low,Late,East,42.91
Wheat,0.7,Low,Mid,West,38.88
Maize,0.24,Medium,Mid,East,12.5
Wheat,0.43,Low,Mid,East,27.69
Sugarcane,0.85,Medium,Late,East,38.51
Rice,0.87,Medium,Initial,North,39.84
Cotton,0.84,Medium,Initial,South,23.85
Rice,0.76,Medium,Late,East,22.46
Sugarcane,0.36,Medium,Late,East,11.77
Rice,0.54,High,Mid,West,25.14
Mustard,2.29,High,Mid,South,51.46
Rice,2.07,Medium,Initial,West,90.57
Sugarcane,1.5,High,Mid,West,92.58
Pulses,1.41,Medium,Late,East,10.02
Mustard,1.88,High,Initial,Central,38.63
Rice,0.46,Medium,Mid,South,21.51
Maize,1.02,Medium,Late,West,22.91
Maize,0.46,Medium,Initial,Central,16.76
Rice,0.46,High,Mid,Central,23.97
Pulses,1.29,Low,Mid,West,27.5
Cotton,1.94,Low,Late,East,42.49
Sugarcane,0.87,Medium,Late,North,29.45
Maize,3.17,Low,Mid,West,183.05
Cotton,1.16,Medium,Late,East,24.59
Rice,0.58,Low,Late,South,16.47
Cotton,0.47,Medium,Late,East,9.23
Mustard,2.04,High,Mid,Central,49.01
Wheat,1.09,Medium,Mid,South,64.7
Maize,1.61,Medium,Initial,South,56.25
Rice,0.2,Low,Initial,North,10.42
Sugarcane,1.19,Low,Mid,North,123.26
Pulses,0.7,High,Initial,West,8.65
Mustard,0.38,High,Mid,East,9.6
Rice,0.96,Medium,Mid,West,59.23
Sugarcane,2.15,High,Late,North,61.05
Pulses,4.89,High,Late,Central,28.21
Pulses,1.18,High,Initial,North,14.37
Rice,0.61,Medium,Mid,East,37.72
Mustard,0.58,Low,Mid,Central,19.33
Cotton,1.96,Medium,Initial,West,67.79
Cotton,0.5,Medium,Initial,West,13.82
Pulses,1.55,Low,Late,North,14.43
Cotton,1.23,High,Initial,North,36.44
Wheat,1.14,Low,Late,West,29.65
Pulses,0.33,Medium,Late,West,2.4
Pulses,0.78,Medium,Mid,South,14.15
Sugarcane,0.36,Medium,Late,East,13.83
Cotton,0.66,Medium,Mid,South,28.6
Mustard,1.9,High,Late,South,26.31
Pulses,2.37,Medium,Late,West,17.53
Mustard,1.16,High,Initial,East,25.16
Wheat,0.67,High,Mid,West,26.08
Sugarcane,3.04,Medium,Mid,South,257.35
Rice,0.66,High,Initial,South,27.63
Mustard,0.45,Low,Late,West,6.93
Pulses,1.63,Medium,Mid,North,27.5
Wheat,1.38,Low,Mid,North,82.57
Maize,0.68,Medium,Initial,West,26.15
Wheat,1.07,High,Mid,Central,44.92
Wheat,1.36,Low,Late,Central,36.82
Sugarcane,1.15,Medium,Mid,North,93.57
Rice,1.38,Medium,Mid,East,74.96
Maize,0.7,Medium,Mid,South,30.47
Cotton,1.45,Medium,Initial,East,43.37
Cotton,1.01,High,Mid,North,40.32
Mustard,0.72,Low,Initial,West,18.01
Wheat,0.84,Medium,Initial,Central,35.51
Sugarcane,0.93,Medium,Initial,North,52.71
Sugarcane,0.36,Medium,Late,East,12.31
Cotton,0.64,Medium,Late,East,10.06
Mustard,1.05,High,Initial,North,23.25
Mustard,0.39,Medium,Initial,South,8.09
